Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,StudyEfficiency
3,97,1,6,5,76.0,0.42857142857142855
2,84,0,5,9,62.0,0.3333333333333333
9,44,0,4,7,37.0,1.8
6,96,0,9,6,86.0,0.6
3,52,1,5,7,37.0,0.5
8,93,0,4,5,88.0,1.6
8,44,0,6,5,38.0,1.1428571428571428
2,99,1,9,5,76.0,0.2
6,71,0,5,2,57.0,1.0
7,90,1,8,9,82.0,0.7777777777777778
2,60,0,7,3,35.0,0.25
2,63,1,4,5,41.0,0.4
1,99,1,4,6,75.0,0.2
8,57,0,8,2,51.0,0.8888888888888888
1,60,1,8,3,34.0,0.1111111111111111
9,93,0,7,5,92.0,1.125
6,49,0,6,0,39.0,0.8571428571428571
7,63,0,5,6,56.0,1.1666666666666667
7,79,0,5,0,69.0,1.1666666666666667
3,86,1,5,9,69.0,0.5
2,60,1,6,8,40.0,0.2857142857142857
9,64,1,7,9,63.0,1.125
8,91,0,5,8,86.0,1.3333333333333333
7,99,0,4,8,89.0,1.4
9,96,1,4,3,94.0,1.8
4,98,1,4,1,79.0,0.8
4,62,0,8,6,44.0,0.4444444444444444
1,61,0,8,3,33.0,0.1111111111111111
8,43,0,6,4,36.0,1.1428571428571428
3,73,1,5,0,50.0,0.5
7,95,0,8,9,94.0,0.7777777777777778
2,45,1,4,5,22.0,0.4
2,67,0,8,6,44.0,0.2222222222222222
7,70,1,4,2,60.0,1.4
6,74,0,5,9,64.0,1.0
3,78,1,6,1,58.0,0.42857142857142855
9,81,1,7,9,78.0,1.125
6,62,1,7,6,51.0,0.75
6,45,0,4,0,30.0,1.2
1,55,1,8,1,29.0,0.1111111111111111
4,41,1,8,2,22.0,0.4444444444444444
6,63,0,4,3,51.0,1.2
6,56,1,5,4,45.0,1.0
5,84,1,4,3,70.0,1.0
1,40,0,5,9,10.0,0.16666666666666666
8,45,1,6,2,38.0,1.1428571428571428
5,44,0,6,0,30.0,0.7142857142857143
5,96,1,4,6,82.0,1.0
7,84,0,6,9,74.0,1.0
4,99,1,8,5,87.0,0.4444444444444444
6,94,1,5,1,77.0,1.0
4,89,1,7,1,72.0,0.5
3,68,0,7,2,51.0,0.375
7,51,1,6,7,40.0,1.0
8,78,1,5,7,72.0,1.3333333333333333
4,86,0,8,9,68.0,0.4444444444444444
2,42,0,7,9,22.0,0.25
3,87,0,8,9,67.0,0.3333333333333333
1,40,1,8,9,18.0,0.1111111111111111
8,66,1,7,7,64.0,1.0
3,87,1,7,6,66.0,0.375
7,63,0,6,1,50.0,1.0
5,83,0,5,0,68.0,0.8333333333333334
5,58,1,4,5,44.0,1.0
7,98,1,5,7,90.0,1.1666666666666667
9,47,0,4,0,41.0,1.8
5,94,0,7,2,83.0,0.625
1,83,0,8,0,57.0,0.1111111111111111
1,86,1,5,9,64.0,0.16666666666666666
2,41,0,8,8,18.0,0.2222222222222222
6,69,0,5,6,62.0,1.0
9,69,0,9,7,66.0,0.9
8,88,0,5,8,85.0,1.3333333333333333
5,78,1,8,2,62.0,0.5555555555555556
1,84,0,9,9,62.0,0.1
7,71,1,6,1,62.0,1.0
5,40,1,7,5,26.0,0.625
6,77,0,6,4,66.0,0.8571428571428571
7,52,0,6,3,43.0,1.0
3,50,1,5,5,30.0,0.5
3,49,0,7,5,25.0,0.375
5,87,1,9,2,77.0,0.5
6,98,0,5,1,88.0,1.0
9,65,1,4,8,62.0,1.8
5,95,1,5,7,82.0,0.8333333333333334
1,94,1,9,3,73.0,0.1
4,59,0,8,5,44.0,0.4444444444444444
5,56,1,5,2,40.0,0.8333333333333334
5,56,1,4,7,39.0,1.0
7,43,0,5,2,34.0,1.1666666666666667
4,44,0,9,1,27.0,0.4
1,99,1,4,6,73.0,0.2
5,62,1,7,2,46.0,0.625
7,85,0,9,8,78.0,0.7
6,91,1,5,2,80.0,1.0
5,49,0,4,7,33.0,1.0
4,85,0,9,1,68.0,0.4
2,67,0,7,8,45.0,0.25
4,72,1,8,0,56.0,0.4444444444444444
3,82,0,6,2,58.0,0.42857142857142855
1,65,1,4,1,37.0,0.2
8,94,1,8,6,88.0,0.8888888888888888
5,89,0,7,4,75.0,0.625
4,87,0,8,7,70.0,0.4444444444444444
8,68,0,5,1,62.0,1.3333333333333333
7,66,0,6,7,57.0,1.0
2,57,1,4,6,32.0,0.4
1,79,1,9,4,53.0,0.1
4,99,0,7,1,82.0,0.5
8,49,1,6,9,41.0,1.1428571428571428
2,97,0,7,6,75.0,0.25
3,81,1,8,9,63.0,0.3333333333333333
1,44,1,7,3,17.0,0.125
1,49,1,7,3,24.0,0.125
3,89,0,8,7,69.0,0.3333333333333333
5,60,1,8,5,47.0,0.5555555555555556
3,63,1,6,8,43.0,0.42857142857142855
1,77,1,4,1,48.0,0.2
1,42,1,8,4,17.0,0.1111111111111111
8,79,0,6,5,75.0,1.1428571428571428
2,70,1,7,7,54.0,0.25
3,80,0,7,3,59.0,0.375
2,76,0,9,6,56.0,0.2
3,41,1,5,6,20.0,0.5
7,41,1,8,3,34.0,0.7777777777777778
1,78,0,6,0,54.0,0.14285714285714285
8,88,0,9,2,83.0,0.8
2,81,0,6,1,59.0,0.2857142857142857
3,83,1,4,2,63.0,0.6
9,73,1,9,4,72.0,0.9
7,81,0,6,0,70.0,1.0
4,59,0,8,4,41.0,0.4444444444444444
5,72,0,6,1,54.0,0.7142857142857143
2,43,1,5,3,21.0,0.3333333333333333
8,84,1,7,5,83.0,1.0
4,83,0,7,8,64.0,0.5
9,50,1,9,9,51.0,0.9
5,81,0,6,5,66.0,0.7142857142857143
9,86,1,6,9,83.0,1.2857142857142858
4,44,0,6,1,26.0,0.5714285714285714
5,64,1,6,7,49.0,0.7142857142857143
9,88,1,5,4,85.0,1.5
8,99,1,8,8,95.0,0.8888888888888888
3,76,1,5,9,56.0,0.5
1,73,1,5,8,50.0,0.16666666666666666
3,48,1,5,3,23.0,0.5
4,45,1,7,0,26.0,0.5
2,57,0,5,8,30.0,0.3333333333333333
1,53,0,6,8,28.0,0.14285714285714285
7,58,0,5,7,48.0,1.1666666666666667
8,53,1,6,4,46.0,1.1428571428571428
7,79,1,9,4,73.0,0.7
5,56,1,8,9,45.0,0.5555555555555556
1,99,0,7,5,76.0,0.125
7,74,0,8,0,71.0,0.7777777777777778
7,68,0,9,8,60.0,0.7
9,81,0,8,4,77.0,1.0
3,56,0,7,6,36.0,0.375
9,98,0,6,7,96.0,1.2857142857142858
1,82,1,9,4,62.0,0.1
1,47,0,9,2,22.0,0.1
4,40,1,6,5,21.0,0.5714285714285714
9,84,0,6,6,79.0,1.2857142857142858
6,92,0,7,3,82.0,0.75
3,75,1,5,8,55.0,0.5
1,46,1,4,3,22.0,0.2
4,85,1,5,9,70.0,0.6666666666666666
9,44,0,5,1,37.0,1.5
3,63,0,8,8,42.0,0.3333333333333333
9,67,1,4,3,64.0,1.8
7,82,0,6,3,72.0,1.0
4,56,1,5,9,42.0,0.6666666666666666
3,76,0,7,0,56.0,0.375
5,59,0,5,1,43.0,0.8333333333333334
5,42,0,6,2,24.0,0.7142857142857143
3,76,1,5,6,55.0,0.5
9,65,0,9,8,64.0,0.9
4,54,1,8,4,34.0,0.4444444444444444
5,90,1,8,3,78.0,0.5555555555555556
4,87,1,5,1,71.0,0.6666666666666666
5,47,1,8,6,33.0,0.5555555555555556
7,52,1,7,5,46.0,0.875
9,87,1,4,6,86.0,1.8
7,42,1,5,7,34.0,1.1666666666666667
5,40,1,7,8,26.0,0.625
7,48,1,9,9,44.0,0.7
5,70,0,7,4,53.0,0.625
3,80,1,7,4,61.0,0.375
7,93,0,9,3,84.0,0.7
2,65,1,6,2,40.0,0.2857142857142857
9,56,0,5,6,53.0,1.5
1,95,0,5,4,67.0,0.16666666666666666
6,73,0,5,6,58.0,1.0
7,48,0,4,1,41.0,1.4
8,95,0,7,8,89.0,1.0
9,90,0,5,8,85.0,1.5
2,52,1,8,8,33.0,0.2222222222222222
2,44,1,6,4,20.0,0.2857142857142857
5,80,1,9,9,66.0,0.5
5,52,1,9,8,38.0,0.5
6,40,1,4,0,25.0,1.2
3,64,1,9,1,43.0,0.3
8,86,0,6,9,79.0,1.1428571428571428
1,43,1,7,4,16.0,0.125
6,75,0,9,4,67.0,0.6
4,91,0,9,5,80.0,0.4
1,49,0,8,7,26.0,0.1111111111111111
7,67,0,7,0,57.0,0.875
9,96,0,5,9,91.0,1.5
4,45,0,6,8,29.0,0.5714285714285714
4,66,1,9,3,48.0,0.4
6,95,0,8,7,84.0,0.6666666666666666
3,51,0,6,4,33.0,0.42857142857142855
6,91,1,4,0,82.0,1.2
7,87,1,8,8,81.0,0.7777777777777778
3,42,1,4,7,24.0,0.6
7,85,1,9,4,81.0,0.7
3,72,1,8,3,54.0,0.3333333333333333
2,49,1,5,7,25.0,0.3333333333333333
4,70,1,6,8,53.0,0.5714285714285714
8,54,0,6,6,48.0,1.1428571428571428
9,46,1,7,3,40.0,1.125
7,75,0,8,6,66.0,0.7777777777777778
1,53,1,8,5,29.0,0.1111111111111111
3,95,1,4,2,73.0,0.6
9,87,0,8,9,89.0,1.0
1,53,1,6,2,27.0,0.14285714285714285
9,42,1,8,0,40.0,1.0
8,88,1,7,4,83.0,1.0
1,92,1,7,7,69.0,0.125
6,85,1,6,5,72.0,0.8571428571428571
5,89,1,6,7,77.0,0.7142857142857143
6,42,1,6,6,32.0,0.8571428571428571
5,61,0,8,1,49.0,0.5555555555555556
6,58,1,8,7,44.0,0.6666666666666666
5,74,0,5,3,57.0,0.8333333333333334
5,51,0,9,4,34.0,0.5
4,93,0,9,7,76.0,0.4
3,44,0,4,4,22.0,0.6
3,49,0,8,4,30.0,0.3333333333333333
4,80,0,5,5,67.0,0.6666666666666666
9,72,0,5,6,71.0,1.5
2,52,1,7,8,29.0,0.25
9,74,1,8,6,74.0,1.0
1,90,1,5,5,67.0,0.16666666666666666
1,71,0,7,9,46.0,0.125
5,50,1,4,3,34.0,1.0
6,87,0,7,9,76.0,0.75
6,77,0,4,1,64.0,1.2
3,63,1,9,8,46.0,0.3
7,74,0,9,9,68.0,0.7
9,58,0,6,4,58.0,1.2857142857142858
8,45,1,6,4,41.0,1.1428571428571428
6,79,0,7,2,64.0,0.75
8,93,1,6,2,84.0,1.1428571428571428
5,84,0,8,0,70.0,0.5555555555555556
8,83,0,7,4,77.0,1.0
4,81,1,5,2,60.0,0.6666666666666666
8,74,1,8,1,65.0,0.8888888888888888
2,43,1,7,8,21.0,0.25
5,72,0,9,9,60.0,0.5
9,52,0,4,5,48.0,1.8
4,95,1,6,2,77.0,0.5714285714285714
6,75,1,6,6,63.0,0.8571428571428571
1,93,1,6,8,68.0,0.14285714285714285
9,82,0,7,8,81.0,1.125
1,58,0,8,0,29.0,0.1111111111111111
5,82,1,4,1,66.0,1.0
4,51,1,6,7,36.0,0.5714285714285714
3,50,1,8,0,29.0,0.3333333333333333
6,45,0,5,2,32.0,1.0
2,51,1,9,6,31.0,0.2
3,66,1,5,7,45.0,0.5
5,80,1,4,4,65.0,1.0
9,64,0,6,1,57.0,1.2857142857142858
2,81,0,5,2,58.0,0.3333333333333333
8,42,1,9,8,38.0,0.8
2,42,0,8,9,22.0,0.2222222222222222
5,59,1,8,6,48.0,0.5555555555555556
7,67,1,5,0,59.0,1.1666666666666667
8,62,1,6,2,58.0,1.1428571428571428
1,87,1,9,8,62.0,0.1
6,42,0,4,6,30.0,1.2
1,81,1,6,1,56.0,0.14285714285714285
2,63,1,7,5,40.0,0.25
1,82,0,5,8,59.0,0.16666666666666666
5,79,1,7,3,65.0,0.625
9,45,0,5,9,43.0,1.5
6,59,1,4,1,48.0,1.2
1,50,1,6,2,24.0,0.14285714285714285
1,71,1,9,6,51.0,0.1
2,99,1,6,3,81.0,0.2857142857142857
9,66,0,5,6,62.0,1.5
3,60,1,8,4,43.0,0.3333333333333333
1,83,0,7,7,63.0,0.125
5,87,0,9,7,73.0,0.5
7,89,0,9,4,76.0,0.7
6,52,1,6,6,43.0,0.8571428571428571
1,61,0,6,5,34.0,0.14285714285714285
5,74,0,5,7,57.0,0.8333333333333334
5,86,0,8,8,72.0,0.5555555555555556
6,61,1,7,4,47.0,0.75
3,67,1,8,6,52.0,0.3333333333333333
5,60,0,9,0,49.0,0.5
7,85,0,8,7,77.0,0.7777777777777778
5,57,1,5,2,41.0,0.8333333333333334
5,70,0,8,0,56.0,0.5555555555555556
5,99,0,7,5,89.0,0.625
3,85,0,9,7,65.0,0.3
1,76,1,4,2,49.0,0.2
5,60,0,9,0,48.0,0.5
9,53,0,4,2,47.0,1.8
1,64,1,7,4,37.0,0.125
3,66,0,9,7,48.0,0.3
4,79,1,9,8,61.0,0.4
1,99,1,9,8,77.0,0.1
1,99,1,9,3,75.0,0.1
8,62,0,5,7,57.0,1.3333333333333333
2,70,0,6,4,45.0,0.2857142857142857
8,86,0,9,2,82.0,0.8
7,99,0,5,4,90.0,1.1666666666666667
2,68,0,7,1,42.0,0.25
6,86,0,9,5,74.0,0.6
6,69,0,8,0,60.0,0.6666666666666666
3,90,0,9,5,73.0,0.3
2,65,1,9,4,40.0,0.2
1,59,0,4,8,32.0,0.2
6,77,0,8,6,67.0,0.6666666666666666
5,58,1,9,5,46.0,0.5
9,66,0,9,6,65.0,0.9
1,64,1,9,9,42.0,0.1
7,79,0,5,4,69.0,1.1666666666666667
5,77,0,7,0,62.0,0.625
5,91,1,4,8,75.0,1.0
2,62,1,9,4,40.0,0.2
3,68,0,7,3,43.0,0.375
7,54,1,4,5,42.0,1.4
6,98,0,4,4,84.0,1.2
2,42,0,4,0,15.0,0.4
6,49,0,9,1,39.0,0.6
2,54,0,5,3,26.0,0.3333333333333333
2,95,0,9,7,73.0,0.2
2,55,0,9,4,34.0,0.2
3,56,1,7,6,34.0,0.375
2,58,1,6,1,37.0,0.2857142857142857
4,50,1,6,7,34.0,0.5714285714285714
9,87,0,6,4,85.0,1.2857142857142858
6,44,1,7,3,31.0,0.75
1,44,0,8,8,18.0,0.1111111111111111
8,97,1,7,5,92.0,1.0
7,53,0,4,3,44.0,1.4
3,89,0,9,7,72.0,0.3
1,65,0,8,2,40.0,0.1111111111111111
5,47,0,4,9,31.0,1.0
4,44,0,9,1,25.0,0.4
8,46,1,9,6,44.0,0.8
1,55,0,4,3,27.0,0.2
1,94,1,7,3,66.0,0.125
4,53,0,6,9,34.0,0.5714285714285714
8,76,0,8,8,70.0,0.8888888888888888
5,95,0,9,1,81.0,0.5
2,80,1,5,0,56.0,0.3333333333333333
6,43,0,9,6,30.0,0.6
5,75,1,6,7,60.0,0.7142857142857143
2,87,0,9,2,64.0,0.2
3,95,1,5,1,74.0,0.5
9,56,1,7,3,52.0,1.125
7,86,1,9,1,84.0,0.7
7,75,0,8,1,66.0,0.7777777777777778
6,45,0,7,4,32.0,0.75
8,55,1,5,9,47.0,1.3333333333333333
4,68,0,4,4,51.0,0.8
8,75,0,9,7,67.0,0.8
4,77,0,7,8,57.0,0.5
8,76,1,9,1,71.0,0.8
9,87,1,8,0,86.0,1.0
3,96,0,9,2,77.0,0.3
3,87,1,7,5,72.0,0.375
2,49,0,6,4,24.0,0.2857142857142857
3,80,0,7,7,60.0,0.375
3,75,1,5,7,55.0,0.5
5,68,1,7,1,54.0,0.625
5,53,0,8,8,39.0,0.5555555555555556
2,43,0,7,3,19.0,0.25
6,83,0,7,0,68.0,0.75
5,95,1,8,1,83.0,0.5555555555555556
6,81,1,7,5,72.0,0.75
1,75,0,8,4,49.0,0.1111111111111111
5,89,0,5,6,74.0,0.8333333333333334
9,84,1,8,8,86.0,1.0
2,52,0,5,5,26.0,0.3333333333333333
1,85,1,5,5,60.0,0.16666666666666666
9,57,1,8,1,54.0,1.0
9,72,0,7,6,73.0,1.125
9,60,0,9,1,61.0,0.9
6,55,1,6,6,45.0,0.8571428571428571
8,54,0,9,7,57.0,0.8
1,93,1,8,0,68.0,0.1111111111111111
4,96,1,7,8,72.0,0.5
1,44,1,5,7,17.0,0.16666666666666666
8,45,0,4,8,37.0,1.6
1,77,0,6,4,54.0,0.14285714285714285
3,42,0,9,3,22.0,0.3
4,87,1,7,0,73.0,0.5
8,51,1,6,8,47.0,1.1428571428571428
6,75,1,4,3,63.0,1.2
7,72,1,4,3,63.0,1.4
